algorithm,variant,CYCLE_max,CYCLE_mean,CYCLE_median,CYCLE_std,LPIPS_max,LPIPS_mean,LPIPS_min,LPIPS_std,SSIM_max,SSIM_mean,SSIM_min,SSIM_std
AKAZE,real,15,1.4835164835164836,1.0,2.0074730568314276,0.7631320953369141,0.7132516350444807,0.6794509291648865,0.015178499304624306,0.4391179879506429,0.37713926435994094,0.26517874002456665,0.03555632133890229
AKAZE,random,2542,929.3516483516484,822.0,659.694324379225,0.7562788128852844,0.7131141066070525,0.6697439551353455,0.015042612294482637,0.4404739836851756,0.3834262114538941,0.2960422933101654,0.030237060243478064
AKAZE,linear,0,0.0,0.0,0.0,0.7485049962997437,0.7150867090094835,0.6750123500823975,0.012389724434219762,0.4443097909291585,0.37528924678917974,0.27079572280248004,0.03355081887370053
AKAZE,offset_+1,19,1.7692307692307692,1.0,2.6105320205395,0.762360692024231,0.71333753043391,0.6796005368232727,0.01507745669153565,0.4404790798823039,0.3767198809091339,0.2654356261094411,0.03560316754202489
AKAZE,offset_+5,24,5.65934065934066,5.0,3.2453509612942,0.7692298889160156,0.7137812194327883,0.6800640821456909,0.014941431972701045,0.43946607907613117,0.37620405669992296,0.2581743200620015,0.035772849357197704
AKAZE,offset_+30,57,30.945054945054945,30.0,5.559592516814969,0.7610986828804016,0.7145084838441756,0.6833212375640869,0.014203653973412039,0.44044844309488934,0.3763257811651502,0.26653602719306946,0.03562533705229046
BRISK,real,6,1.4615384615384615,1.0,1.320237177390739,0.7631320953369141,0.713408985402849,0.6798388957977295,0.015093508417020078,0.4391179879506429,0.3770011833052576,0.2691594163576762,0.035603585335772917
BRISK,random,2542,929.3516483516484,822.0,659.694324379225,0.7562788128852844,0.7132002464738716,0.6697439551353455,0.015073539992022168,0.4404739836851756,0.3833946975439268,0.2960422933101654,0.03018036283861522
BRISK,linear,0,0.0,0.0,0.0,0.7485049962997437,0.7150552662430106,0.6750123500823975,0.01237582597468415,0.4443097909291585,0.37522079207090087,0.27079572280248004,0.0335033891633925
BRISK,offset_+1,6,1.8131868131868132,1.0,1.6234009066039023,0.762360692024231,0.7134513080120086,0.6798447370529175,0.014981059572744449,0.4404790798823039,0.3770110507806142,0.2713436484336853,0.03564466134678825
BRISK,offset_+5,19,5.846153846153846,5.0,2.745318000047773,0.7692298889160156,0.7136355170497188,0.6807969808578491,0.014871738689447234,0.43924427032470703,0.3765512564300019,0.2570042709509532,0.035506918669322575
BRISK,offset_+30,57,31.46153846153846,30.0,5.649677015581408,0.7634934186935425,0.7142692329706969,0.6827205419540405,0.014282906943882305,0.44044844309488934,0.37660763613235804,0.26653602719306946,0.03545065017518744
ORB,real,6,1.1538461538461537,1.0,1.2218080362439354,0.7644397020339966,0.7133599925218461,0.6788716316223145,0.01509733238902683,0.4391179879506429,0.37695114057894236,0.26517874002456665,0.03546832129141455
ORB,random,2542,929.3516483516484,822.0,659.694324379225,0.7562788128852844,0.7130718726304269,0.6697439551353455,0.01496744141972362,0.4404739836851756,0.38349562875365695,0.2960422933101654,0.030199180626405354
ORB,linear,0,0.0,0.0,0.0,0.7485049962997437,0.7151017761789262,0.6750123500823975,0.012377536840018789,0.4443097909291585,0.3750624352833256,0.27079572280248004,0.03347263069136804
ORB,offset_+1,8,1.3626373626373627,1.0,1.3466807670247478,0.7635012269020081,0.7134615610523295,0.6794509291648865,0.014983645942974685,0.4404790798823039,0.3770574094194462,0.2654356261094411,0.03546159932580504
ORB,offset_+5,20,5.208791208791209,5.0,2.658250616669094,0.7692298889160156,0.7137222431849369,0.6814415454864502,0.014894485030840376,0.43946607907613117,0.37638199923945476,0.2581743200620015,0.035650867577814695
ORB,offset_+30,60,30.87912087912088,30.0,5.7432907150984,0.7617342472076416,0.714413497970893,0.6827205419540405,0.014159677860547207,0.44044844309488934,0.3764655335241977,0.2646707197030385,0.035440328401277324
